producto,marca,categoria,codigo_barras,presentacion,factor_unidades,precio,stock_inicial
Aruba Green Punch x 400 ml,Aruba,Bebidas,7751271036078,Unidad,1,1.0,0
Aruba Red Punch x 400 ml,Aruba,Bebidas,7751271036566,Unidad,1,1.0,0
Arvejita fresca  a granel x kg,Genérico,Frutas y Verduras,,Unidad,1,4.5,0
Asmachilca Antigripal Del Valle  25 und,Del Valle,Abarrotes,7750520000143,Unidad,1,3.5,0
ASTI RICCADONNA 750 ML,Riccadonna,Licores y Cervezas,8000368219801,Unidad,1,60.0,0
Aterralenguas Super Hiper Acido Mango,Genérico,Abarrotes,7758102004817,Unidad,1,1.0,0
AVENA A GRANEL X KG,Genérico,Abarrotes,7751234013016,Unidad,1,7.0,0
Avena integral a granel x kg,Genérico,Abarrotes,7751234013160,Unidad,1,6.5,5
Avena Precocida Cereales Andinos 3 Ositos x 270,3 Ositos,Abarrotes,7750885013642,Unidad,1,3.2,0
Avena precocida chocolate 3 ositos 180 g,3 Ositos,Confitería y Golosinas,7750885019996,Unidad,1,2.5,0
Avena precocida Clásica  3 Ositos 500 gr,3 Ositos,Abarrotes,7750885022460,Unidad,1,5.5,0
Avena precocida Clásica 3 Ositos 10% +,3 Ositos,Abarrotes,7750885024761,Unidad,1,1.2,0
Avena precocida clasica 3 ositos 100 g,3 Ositos,Abarrotes,7750885022590,Unidad,1,1.2,0
Avena precocida clásica 3 Ositos 250 gr,3 Ositos,Abarrotes,7750885020008,Unidad,1,3.0,0
Avena Precocida Clásica 3 Ositos 900 gr,3 Ositos,Abarrotes,7750885020473,Unidad,1,9.0,0
Avena precocida maca 3 ositos 150 g,3 Ositos,Abarrotes,7750885021814,Unidad,1,2.0,1
Avena precocida maca 3 ositos 270 g,3 Ositos,Abarrotes,7750885006491,Unidad,1,3.0,0
Avena Precocida Quinua 3 ositos 150 g,3 Ositos,Abarrotes,7750885021821,Unidad,1,2.0,0
Avena Precocida Quinua 3 Ositos x 270 g,3 Ositos,Abarrotes,7750885006484,Unidad,1,3.0,0
Avena Quaker 200 gr,Quaker,Abarrotes,7758574004605,Unidad,1,2.5,0
Avena Quaker Tradicional 100 g,Quaker,Abarrotes,7758574004599,Unidad,1,1.2,0
Avena San Catalina 100 gr,Genérico,Abarrotes,7754159001458,Unidad,1,1.0,0
Avena Sta. Catalina Chocolate 150 gr.,Genérico,Confitería y Golosinas,7754159001137,Unidad,1,3.0,0
Avena Sta. Catalina Manzana 150 gr.,Genérico,Abarrotes,7754159001144,Unidad,1,3.0,0
Aventuras Crea-turas Paleta Donofrio 64.3 g,D'Onofrio,Helados y Congelados,8445291128385,Unidad,1,1.0,0
Aventuras Emoticaritas Vainilla Lucuma 65 ml,Genérico,Confitería y Golosinas,8445291611641,Unidad,1,2.0,0
Ayudin Lava Pasta 850 gr,Ayudín,Limpieza del Hogar,7759918006347,Unidad,1,8.0,0
Ayudin Lava Pasta 950 gr,Ayudín,Limpieza del Hogar,7759918006354,Unidad,1,8.5,0
Azucar Blanca x kg,Genérico,Abarrotes,7751234021356,Unidad,1,4.0,0
Azucar del Sur Blanca 1 kg,Arroz del Sur,Abarrotes,7755139001574,Unidad,1,5.5,0
